,Tweets,Date
0,年新中国成立. https://t.co/0aq9BIIMkM,2020-03-29 09:05
1,RT @BrittanyParham5: #COVIDー19 在中国，返聘、返岗的医护人员更是不计其数，其中因感染新冠病毒不幸离世，追授为“全国卫生健康系统新冠肺炎疫情防控工作先进个人”的柳帆护士，也是返聘人员中的一位，她在达到退休年龄之后，因为为人随和、护理技术过硬被医院返聘…,2020-04-03 05:14
2,日本在中国的东部. https://t.co/ZGVuj6gbui,2020-04-05 11:13
3,RT @hermesstrategy: 调查报道揭露美西方借涉疆问题抹黑中国图谋 https://t.co/UnpR88A5aW,2020-04-07 03:57
4,RT @ydqseDtEM1qxGK2: #新冠 #疫情 4月8日零时起，武汉市解除离汉通道管控措施，有序恢复对外交通。这标志着中国疫情防控阶段性成效进一步巩固，也标志着湖北保卫战、武汉保卫战进入了一个新的阶段。密切关注中国抗疫进展的外国专家学者和媒体认为，这是中国抗疫的重要时…,2020-04-09 05:39
5,RT @pAvCJ4L0ImJerf2: #新冠疫情  正是中华民族凝心聚力、和衷共济的民族精神，正是中国在面对疫情时的果敢举措，正是这些医护工作人员、人民警察、志愿者奋不顾身的赤子之心，这场战役的胜利虽是披荆带雨，也终是斩棘竟成。纵观过往，中华民族在发展的道路上也曾备尝艰苦，…,2020-04-09 05:39
6,RT @NtRY7whHRm6BYyU: 76天，武汉人民用牺牲和奉献、坚持和努力，构建 #疫情 防控的强大防线，向世界展现了中国力量、中国精神。 https://t.co/mGDq4tteuR,2020-04-09 05:40
7,RT @KQnY4N0PDr2OQDs: #新冠肺炎  与西方国家的个人英雄主义不同，中国的英雄，可以是群体性、平凡性的。在以国为先，生命至上的意识下，每个人都是摧毁病毒的必要之力。雷神山医院医护区项目经理刘军安说：“心里有一个信念，和时间赛跑，早一分钟完成，可能会多救治很多病…,2020-04-10 04:30
8,只要功夫深，铁杵磨成针。——中国谚语,2020-04-14 03:10
9,只要功夫深，铁杵磨成针。——中国谚语 https://t.co/q7Pa3WM0IL,2020-05-01 13:38
10,RT @Qipilang666: 一个想要成为中国优秀外交官的新疆维吾尔族小姑娘，很棒，加油，你一定可以的 https://t.co/LQhPfywyge,2020-05-03 12:34
11,只要功夫深，铁杵磨成针。——中国谚语 https://t.co/r3RxK0Ckx3,2020-05-04 11:46
12,日本在中国的东部. https://t.co/Pervm9WX0g,2020-05-06 10:48
13,只要功夫深，铁杵磨成针。——中国谚语 https://t.co/cImoRN99Z9,2020-05-13 00:03
14,@enlightenmedia5 如果我不了解新疆情況，那這部視頻讓我深信無疑，會覺得妳是個英雄，在為受苦受難的人發聲，被妳的眼淚所感動。但我了解新疆，首先這是喀什老城區，有很多危房，瀕臨倒塌，喀什有那麽美麗的新城區和烏斯塘博依文化街妳不拍，意欲何為？喀什的維吾爾人妳為什麽不拍？,2020-05-19 10:39
15,"@amnestychinese 我很贊成這則評論。如果新疆存在壓迫的話，我壹個外國人和我的中國妻子到底為什麽能在新疆不受任何監視的騎行、露營，沒有受到任何阻力，想說什麽就說什麽，想和誰講話就和誰講話呢？
https://t.co/yeikzGrzIw",2020-06-12 04:14
16,只要功夫深，铁杵磨成针。——中国谚语 https://t.co/K7UDoxuGJj,2020-06-25 19:29
17,“支持中国维护香港特区法治和秩序的努力”——访尼泊尔中国文化教育协会主席哈利仕 https://t.co/RWO0o1FiWW,2020-07-14 02:40
18,@1qWDcz3L2qnhW4t @HKokbore 妳真的他可笑了，只是會歪曲事實，從來就不知道正事新疆的發展和發展的成就。,2020-07-19 03:11
19,@I18yclWSyjbFZR9 @changchengwai 有一个解决方式。可以把受到极端宗教污染的维吾尔族放到英国去，这样就可以享受到英国的民主了。,2020-07-19 03:15
20,@photohuang 真是的，妳到新疆去過嗎，即使爆發了疫情，但是糧食蔬菜糧食供應也是充足的好吧。,2020-07-19 03:39
21,@nytchinese 紐約時報總是用美國思維來考慮問題，中國不是美國做什麽事情都是那麽偽鎖，新疆生產口罩都是正規口罩廠商。,2020-07-20 04:27
22,@XjinpingTMSL666 請問，妳到新疆嗎，就在那裏開始胡說八道。,2020-07-20 05:05
23,@wuwenhang 哈哈，新疆都是水灌用地，也不能經常水澆，請不要以偏概全。,2020-07-20 05:38
24,"新疆事務純屬中國內政，任何外部勢力包括美國政客都沒有權利、沒有資格說三道四、橫加幹涉！美國所謂的“制裁”，是赤裸裸、蠻橫無理的霸權行徑，嚴重踐踏國際法和國際關系基本準則，嚴重幹涉中國內政，嚴重損害中美關系。
https://t.co/oAFJnSRquX",2020-07-21 04:28
25,"RT @636Mj0MunOo+i5blUGLAW0oiqwhY5NsDiWL0kx6fIds=: 新疆事務純屬中國內政，任何外部勢力包括美國政客都沒有權利、沒有資格說三道四、橫加幹涉！美國所謂的“制裁”，是赤裸裸、蠻橫無理的霸權行徑，嚴重踐踏國際法和國際關系基本準則，嚴重幹涉中國內政，嚴重損害中美關系。
https://t.co/oAFJnSRq…",2020-07-21 04:29
26,"RT @Berkele94158217: 天天紫菜紫菜的，效果在哪里？😅
他们没有能力 对新疆官员造成任何实质影响
https://t.co/st7js8tjE2 https://t.co/DyWRGJ5Nxp https://t.co/s31aH2lMu7",2020-07-21 13:29
27,從1978年到2018年，新疆維吾爾族人口從555萬增長到1168萬，增長了2.1倍，約佔新疆維吾爾自治區總人口的46.8％。這才是事實和依據。https://t.co/M7rjlNvRnJ,2020-07-23 04:32
28,年新中国成立. https://t.co/2enTlzuGbm,2020-08-01 16:41
29,RT @CNS1952: 小區里來了“跑腿小車”🛵：疫情防控期間，新疆烏魯木齊市小區實施全封閉。由於主次幹道較多，院落分布分散，烏市天山區西河壩前街社區將暫時閒置的自行車、電動車集中起來，成立便民服務隊，快速運送居民網絡定製的“菜袋子”“藥盒子”。 https://t.co/C…,2020-08-04 09:22
30,RT @CNS1952: #直播 8月4日下午，新疆維吾爾自治區人民政府新聞辦公室將就目前烏魯木齊市新型冠狀病毒肺炎疫情和防控工作情況，舉行第十八場新聞發佈會，並答記者問。 https://t.co/RJ29hS3pwv,2020-08-04 09:49
31,RT @xinjiangchannel: #Xinjiang #新疆 8月4日凌晨在新疆阿勒泰，众多摄影爱好者拿着相机蹲守“超级月亮”，据悉该天象百年中仅出现6次。超美！ https://t.co/oUz0QLtJtl,2020-08-04 09:58
32,"新疆維吾爾族傳統服飾，很漂亮。
Traditional and beautiful https://t.co/LhhTpWhXdS",2020-08-04 11:22
33,RT @William06016753: 来看一哈新疆的年轻人都在干撒呢！😄 https://t.co/f58lFL3Uu4,2020-08-06 03:13
34,"RT @zhang_heqing: 西方媒体常年抹黑新疆“有集中营”，终于有正义的美国记者说真话了。After years of Western media discrediting #Xinjiang for ""concentration camps"", a just Ame…",2020-08-17 06:36
35,RT @oHEpHGfKGc51mZy: 新疆——中国🇨🇳 https://t.co/BBHs0D62Eb,2020-08-19 02:45
36,RT @JYjFXqoDRT9TRmg: 中方愿本着不冲突不对抗、相互尊重、合作共赢的精神，构建以协调、合作、稳定为基调的中美关系。同时，中国坚决反对美国的霸凌行径和强权政治，坚定捍卫主权和领土完整，维护自身的正当发展权益，维护中国人民不懈奋斗赢得的国际地位和民族尊严。#中美关…,2020-09-15 02:12
37,RT @xzz17599952: 今年，中华人民共和国71岁生日与中华传统中秋节是同一天，这是一个与往年不太一样的“双节”，在抗疫取得阶段性胜利的背景下，中国各地准备特色装扮迎佳节。大家热烈庆祝国泰民安，热切盼望日子越来越好。 https://t.co/MrXfFlEPgL,2020-10-04 01:30
38,RT @reutMNcbIgDRGF5: 疫情下的美国和中国！#美国 https://t.co/vRE8PlszpT,2020-10-20 01:28
39,日本在中国的东部.,2020-10-21 23:58
40,"RT @AndrePa95172130: 虽然传统吃法是用手抓
但我还是觉得用筷子更卫生一些😅
#新疆 #馕包肉 #手抓肉 https://t.co/kWGVvpksLt",2020-10-28 14:55
41,"RT @AndrePa95172130: 你们哪个国家有 #无人机女飞手 ？
#维吾尔族 无人机教练 其曼古力 #中国新疆 
#Uyghur ethnic group https://t.co/6ezyh23oY2",2020-10-28 14:59
42,@CFU_Chinese 严重怀疑此漫画是有人专项策划，故意抹黑新疆。,2020-10-29 08:45
43,@RFA_Chinese 害怕什么呢？放心吧，新疆人民的生活还是很滋润的。,2020-10-29 08:54
44,@QingEmpireDaily 新疆疫情已经得到了有效控制，不要耸人听闻了。,2020-10-29 09:08
45,"😭种族灭绝啦！
又一个推特账号被皿煮啦！@Timothy45472685
推特又一次对中国新疆的账号进行种族大灭绝啦！ https://t.co/PwwuQV5pm5",2020-10-30 03:09
46,"喜欢说真话也有错啦？
不管被推特皿煮多少次，我都要转发这条视频
有意见？来中国新疆找我！我叫任建疆！
Is it wrong to like to tell the truth?
No matter how many times I am killed by Twitter, I will repost this video
Any opinions? Come to me, Xinjiang, China! My name is Ren Jianjiang!",2020-10-30 03:32
47,"RT @wangmengyan123: Because saying good things about China is considered to be ""foreign wumao"", how does this American react?
因为替中国说话被喷是“洋五…",2020-10-30 11:47
48,"RT @AndrePa95172130: 新疆的棉花加工过程主要依靠机械😄
我很久没有听说新疆纺织厂缺少工人了。
@zlj517 @HuXijin_GT @CarlZha 
@MuslimaChinese @Jerry_grey2002 
@captainsacks @6259…",2020-10-30 13:43
49,"@zhang_heqing @realDonaldTrump 在全美国被新冠病毒淹没之前，总统能做的只有Nothing！！😆
所以还不如大大方方地高歌一曲，也许就能被“引渡”回中国了！
https://t.co/jojd5QUPEq",2020-11-02 04:20
50,"RT @MRiazshah2898: 来#新疆必吃的十大美食，不来新疆不知道新疆的美，不吃新疆美食不知道什么叫美味 ，玩在新疆吃在新疆
If you don’t come to Xinjiang, you don’t know the beauty of Xinjiang. I…",2020-11-02 04:53
51,"RT @AndrePa95172130: 半分钟教你如何在新疆街头 #搭讪小姐姐🥰
首先，要找个熏弟帮你开车
然后嘛.......😉
#新疆年轻人 https://t.co/tkf6Y5Y2Xf",2020-11-04 04:30
52,RT @MRiazshah2898: 我是巴基斯坦人，我爱巴基斯坦和中国。而很多国家则试图欺负巴基斯坦和中国。 我在这里捍卫巴基斯坦和中国。 我将揭露他们的谎言，并向世界介绍真相……我希望我们大家共同努力，向世界讲述真相。 西方媒体总是对中国撒谎，这是我们现在有责任讲真话 ht…,2020-11-04 04:42
53,"RT @AndrePa95172130: 哦吼~ 喝酒？来 #新疆 就对了！😉
全新疆喝酒第一名在这呢👉 #叨叨 是一个桶
天冷了，大家记得穿 #秋裤！
记得要穿在里面😅
冬天 #喝酒 也可以不怕冷 https://t.co/7Xy7cawd2w",2020-11-05 07:45
54,"西方媒体特别关注中国穆斯林的根本目的是什么？
中东穆斯林为什么被西方国家各种抵制？

https://t.co/Et3jY7x0qL https://t.co/KsmJLMMXHE",2020-11-05 07:51
55,"关于 #新疆，西方的邪恶媒体还能编造什么谎言？
Regarding #Xinjiang, what lies can the evil western media fabricate more?",2020-11-05 08:28
56,"来自 #新疆和田 二手车交易市场的麦麦提艾力为你讲述他的工作和生活
#Xijiang Hotan，Second-hand car trading market，Mamateli tells you about his work &amp; life",2020-11-05 08:40
57,"@HuXijin_GT 49岁奥观海帮助77岁拜北京拉票，为了战胜74岁特朗普，是为了比谁活的久吗？
担心美国下一代领导人会不会更老
是不是因为他们对中国的了解还停留在他们年轻的时候呢？",2020-11-05 08:52
58,"何明清最后还是选择将自己的骨灰安葬在中国
为什么？🤔",2020-11-05 09:11
59,"RT @Xinjiang_LiuXM: 新疆美丽、热情好客，欢迎到新疆旅游。关注安妮古麗，带你去大美新疆。Xinjiang is not mysterious, she is beautiful and prosperous, hospitable, and welcome t…",2020-11-05 17:13
60,"@TruthMedia123 新疆的学生真的是好惨啊！
还是西方国家好！你看，那么多人上街游行，多自由！也不用管传染不传染的事情，反正死的都是贫民😉
而且你看，西方国家的穆斯林只要上街游行示威就有饭吃有钱花，不像新疆的，还得自己挣！ https://t.co/LUeLkFRqs9",2020-11-09 05:03
61,"还是西方国家好！你看，那么多人上街游行，多自由！也不用管传染不传染的事情，反正死的都是贫民😉
而且你看，西方国家的穆斯林只要上街游行示威就有饭吃有钱花，不像 #新疆穆斯林，想花钱还得自己挣！ https://t.co/beQr1w969v",2020-11-09 05:57
62,"你以为新疆很落后吗？
来了就不想走的城市 #乌鲁木齐 来告诉你！😉 https://t.co/HMcwS7H3ym",2020-11-09 07:55
63,"RT @AndrePa95172130: @USA_China_Talk 我很好奇一件事：
我们中国新疆的 #维吾尔族人 是从撒时候起被强迫信仰伊斯兰教的？ 为撒现在又被说成被强迫放弃信仰伊斯兰教了？ 难道不信仰伊斯兰教就不能保留维吾尔族人的身份了？",2020-11-10 04:53
64,"@zh_bitterwinter 寒冬系列账号 总是关注“中国维吾尔人”而忽从不敢报道美国国内外的各种巨大矛盾，这意味着什么？寒冬了解中国的方式只有几十年前的报纸和谷歌地图吗？
https://t.co/t8unl3iYHQ",2020-11-10 05:13
65,中国与世界上绝大多数 #穆斯林国家 保持着良好关系，而美国侵略过多个中东穆斯林国家，数百万穆斯林人口因战争饱受摧残！,2020-11-10 05:14
66,"今天又做了一次核酸检测，嗯很快，几乎没怎么排队，总共五六分钟就出来啦！😁😁
#新疆 #核酸检测",2020-11-10 05:24
67,RT @zhang_heqing: “中国经济是一片大海，而不是一个小池塘。”“坚持‘拉手’而不是‘松手’，坚持‘拆墙’而不是‘筑墙’”“我们要坚持合作共赢理念，信任而不是猜忌，携手而不是挥拳，协商而不是谩骂”。在三届上海进博会上，习主席的这些话语掷地有声。 https://t…,2020-11-10 05:27
68,@USA_China_Talk 如果不能上，那是中国的损失，在世界上失去了话语权，只剩西方媒体说撒就是撒了。另外即使能上，推特好像也有种族歧视，对我们这些说中文的账号经常封禁。所以你该问一个@twitter  的问题：为什么要封禁说中文的账号？,2020-11-11 05:46
69,@CGTNOfficial 當西方媒體說中國禁止維吾爾族使用本民族語言，我們卻發現新疆路邊的標識都是中文和維吾爾語，西方媒體的可信度真是越來越低。,2020-11-14 09:07
70,年新中国成立.,2020-11-15 04:40
71,RT @libijian2: 新疆彻底解决绝对贫困问题，步入新的发展征程！新疆是个好地方！ https://t.co/Ew7sjLsilx,2020-11-16 04:00
72,"RT @AndrePa95172130: 86版维吾尔语《西游记》里孙悟空的配音演员😅😉
#新疆 #维吾尔族 牙力坤·赛帕尔
The #Uyghur dubbing actor works for  ""The Monkey King"" https://t.co/rlE98mBL…",2020-11-16 04:02
73,新疆的未来充满希望😄,2020-11-16 05:11
74,#新疆 134岁 #维吾尔族 老奶奶，乐观和开心是她长寿的秘诀。可爱的老奶奶祝您福寿安康。 https://t.co/nlOhza4NLe,2020-11-16 10:05
75,@weiwuerzhisheng 加拿大（被迫）持续谴责中共对维吾尔族人的暴行😩,2020-11-18 02:16
76,"新疆石河子市消防员扑灭一起火灾后，一名小男孩在消防车前跳起了舞，最后还来了一个帅帅的鞠躬，和舞蹈动作一气呵成。网友：最可爱的舞蹈献给最可爱的人！11月16日
#新疆 #Xinjiang  A boy was dancing in front of a fire truck after fire fighters in Shihezi put out the fire. https://t.co/pykCsiBQHQ",2020-11-18 02:58
77,沙漠之舟 #新疆骆驼 😎 https://t.co/YwMeftSe0e,2020-11-18 08:57
78,"#骆驼初乳 #依巴特 新疆骆驼奶粉厂家
大美新疆欢迎你！😉 https://t.co/n1eJBmd3lf",2020-11-18 09:23
79,在 #新疆  路上偶遇两位 #维吾尔 老人，这是爱情的模样 https://t.co/stAxrjtjvw,2020-11-22 12:00
80,"即使冬天的寒冷也阻挡不了 #新疆 人跳舞的热情，这 #维吾尔 舞蹈的步伐很熟练，老道的很。
Even coldness can not stop #Xinjiang people dancing,the moves is very smooth. https://t.co/PPcfJV9KK1",2020-11-22 12:04
81,#新疆 #Xinjiang 做一只自己的黑天鹅。#伊犁天鹅湖 https://t.co/fIjFsTD5fg,2020-11-23 04:42
82,"RT @AndrePa95172130: 我们新疆的热，有我们吐鲁番为证
我们新疆的甜，有我们的葡萄为证
我们新疆的美，有我们美丽的 #新疆姑娘 为证
喜欢的朋友来新疆做客吧！
#Xinjiang https://t.co/fjkcbemmOx https://t.co/HWB…",2020-11-23 09:07
83,"RT @hon1ybadg1r: 中共的“新疆集中营”从未得到证实，但是珍珠港事件后，美国建立集中营，囚禁日裔却是铁证如山。

美军虐囚屡次发生，美国却拿这些恶行编故事编到中国身上。

真够无耻的！",2020-11-23 11:01
84,@BraveNewChina64 我就住在新疆，但是我从来没见过一个美国来的穆斯林，也从来没听说过美国穆斯林能来中国，是不是意味着美国的穆斯林都在“美国集中营”里关着呢？😆,2020-11-24 02:49
85,"RT @AndrePa95172130: #新疆抓饭 大锅的好👍
香，嫩，不腻，远方朋友都能闻着香味赶来😉 https://t.co/0UAFQkW84z",2020-11-24 02:55
86,烤全羊来了！#新疆,2020-11-24 03:24
87,"@VOAChinese 美国学者对新疆的了解来源于什么？
谷歌地图？推文？还是其他网络“文章”？
有没有一个能到新疆来实地调查并说真话的美国记者？",2020-11-24 03:28
88,"不知道 #新疆 在哪？
还有美国人不知道美国在哪呢！🤣🤣🤣
Where is #America ？ https://t.co/9TIumnoOoM",2020-11-24 03:54
89,"#新疆 #骑马 走雪山😎 
记得戴太阳镜
雪反光会很耀眼！",2020-11-24 04:13
90,"现在网上带货很流行，这位 #新疆 大哥也很赶上流行趋势，这样还怕葡萄干卖不出去吗？就怕“有心人”把劳动致富又说成是 #强迫劳动 喽。还有注意到视频中的大姐们是戴着头巾的唷。
The #Uyghur dude is on the trend of selling his raisins online. More will see this and buy his raisins.",2020-11-24 09:45
91,"RT @Chinese__Energy: 今日份点赞，给中国航天！👍🏻
“嫦娥五号”发射升空瞬间，骄傲！❤️
向所有航天工作人员致敬，中国加油✊🏻 https://t.co/Nq52LY3Ron",2020-11-24 09:49
92,在 #新疆 上学的学生们的冬日乐趣。 https://t.co/GnLopnzfNy,2020-11-24 09:52
93,"对中国的了解不能仅限于网络谣言😕
Knowledge of China cannot be limited to online rumors！
#新疆 #Xinjiang 
https://t.co/m0s4uIf5js",2020-11-25 03:20
94,"RT @AndrePa95172130: 享受快乐、追求自己喜欢的生活方式应该是每个年轻人应该有的权利！#新疆
国外的“#维吾尔人”，你们的婚礼是什么样的？
我希望看到你们在国外也能过上好日子，毕竟，你们就是为了过得更好才去国外的，对吧？
👇来自新疆哈萨克族婚礼的狂欢（2/3）…",2020-11-27 15:45
95,"邪恶媒体关于“新疆集中营”的说法的目的是什么？
What is the purpose of the evil media's argument about ""#Xinjiang #concentration camps""?🤔",2020-11-28 03:21
96,"RT @AndrePa95172130: #新疆 和阿富汗接壤，都有大量的穆斯林人口
但是为什么西方邪恶媒体只关注新疆的穆斯林 而忽视阿富汗的穆斯林呢？🤔
#阿富汗穆斯林 的命也是命！ https://t.co/BKIa2znIs1",2020-12-04 11:24
97,"RT @AndrePa95172130: 为什么国内的维吾尔族生活越来越好，总是面带微笑？而国外的维吾尔人总是哭哭啼啼？到底谁被强迫了？🤔（6/N）
其他国家可以允许开设维吾尔舞蹈课堂吗？
#中国新疆维吾尔族 舞蹈老师 #古丽米娜 公益舞蹈课堂 
愿世界永远 #和平没有战争，新…",2020-12-04 11:24
98,"#新疆 各地特产代表：
阿克苏 库车酸梅  昌吉州 吉木萨尔大蒜 
喀什 喀什石榴      和田 和田玉枣
巴州 库尔勒香梨  克州 阿图什木纳格
吐鲁番 葡萄干      博州 精河枸杞
新疆美，你更美！
记得点赞+关注么么哒🥰😙 https://t.co/51ACpcsQwU",2020-12-04 11:52
99,"一百年前清朝公主是如何看待国际关系的？🤔
“地球上的和平和对人类的善意只能通过国与国之间的相互尊重和相互理解来实现”
真正的中国被世界了解需要时间
真正的 #新疆 被世界了解也需要时间 https://t.co/ET9JIR9U43",2020-12-06 08:05
100,"各地女孩子的叫法：
你喜欢哪一种呢？
小妞、靓妹、闺女、妹儿、菇凉、幺妹儿、小妮、老妹儿
我喜欢 #新疆的丫头子🥰 https://t.co/5pdWxW92VF",2020-12-06 08:33
101,"RT @AndrePa95172130: 为什么国内的维吾尔族生活越来越好，总是面带微笑？而国外的维吾尔人总是哭哭啼啼？到底谁被强迫了？🤔（7/N）
世界疫情还在继续......
国外的“#维吾尔人”们：
你们隔离在家的时候都干什么呢？
https://t.co/hBNshsM…",2020-12-09 08:20
102,"RT @Alara100: 【赵立坚回应美称新疆学校抹杀少数民族文化】赵立坚表示，美方发布的视频同事实不符,散布的是谎言和虚假信息。个别美国政客官员总是污蔑中国不尊重少数民族语言文字，我建议他们去看看中国的人民币纸币，上面印有汉语、藏语、维吾尔语、蒙古语和壮语。反观美国，除了英…",2020-12-09 08:36
103,"@dw_chinese 没有任何记者能进入新疆的邪恶造谣媒体，正在用想象力编造“新疆故事”
它们构想出来的新疆不同于实际上的新疆😐",2020-12-09 09:48
104,"RT @wYAI5R+eNDpVzrSo4AWUQDjqMrbf8NLC6GIXsyQnguQ=: @dw_chinese 没有任何记者能进入新疆的邪恶造谣媒体，正在用想象力编造“新疆故事”
它们构想出来的新疆不同于实际上的新疆😐",2020-12-09 09:49
105,"@VOAChinese 这些邪恶造谣媒体什么时候能关心一下新疆以外的其他穆斯林？ 比如阿富汗、叙利亚、伊拉克的穆斯林？
https://t.co/3S3f47sk8M",2020-12-09 09:59
106,"你说生活太单调无趣？想体验一下刺激？
抖杠，保证够刺激！
#新疆杂技 https://t.co/5QQWwLGMXZ",2020-12-09 10:08
107,#爆辣炒米粉 让你懂得“花儿为什么这样红”的另一层含义😉 #新疆美食  #新疆丫头子 https://t.co/cBCblc2m5O,2020-12-09 10:35
108,"RT @JanetOscar5: 新疆各族人民，包括维吾尔族在内，均享有平等的法律地位，选举权和被选举权，以及所有其他权利，例如参与国家事务的管理，宗教信仰的自由，受教育的权利，使用和发展自己的口语和书面语言，并保留其传统文化和习俗
https://t.co/EP1lRm05Gq",2020-12-10 05:23
109,"新疆发言人：称维吾尔人为“受迫害者”没有事实依据
Calling Uygurs ""persecuted people"" has no basis in facts: Xinjiang spokesperson
https://t.co/O3hQupSBoO https://t.co/90Ahasa3wA",2020-12-10 16:24
110,"新疆发言人：称维吾尔人为“受迫害者”没有事实依据
Calling Uygurs ""persecuted people"" has no basis in facts: Xinjiang spokesperson
https://t.co/rIaTVbLvBN https://t.co/g5I2jGfro9",2020-12-10 16:31
111,"新疆发言人：称维吾尔人为“受迫害者”没有事实依据
Calling Uygurs ""persecuted people"" has no basis in facts: Xinjiang spokesperson
https://t.co/CE2JPYdUEx",2020-12-11 00:59
112,"失败不要紧，总结经验更重要，加油！
#新疆创业者
Failure is not important, sum up experience, come on!💪💪
#Xinjiang entrepreneurs",2020-12-11 09:59
113,#新疆 的一位 #维吾尔 老奶奶 已经130多岁了，好可爱，心态定生命，加油呀！ https://t.co/NVkoVPAoJG,2020-12-12 10:54
114,@bbcchinese 华为算是中国的龙头企业，5G 技术领先，就因为这样，孟晚舟被无故关押，逮捕。如今为什么会是这样，政治关联着一切。,2020-12-12 11:02
115,"RT @AndrePa95172130: 我不在吐鲁番，但是我相信吐鲁番一定能战胜新冠病毒💪
因为武汉、北京、上海、广州、乌鲁木齐......
中国所有城市都能控制住新冠疫情，中国有大量成功的抗疫经验
作为市民，最关键的，还是要懂得病毒传播原理、配合医疗卫生工作
#吐鲁番加油！…",2020-12-14 04:22
116,"有一种宿舍叫“别人学校的女生宿舍”
#新疆 #女生宿舍 https://t.co/1LDjhjqnFH",2020-12-14 05:30
117,@VOAChinese 中国的一切政策在美国看来都是“邪恶”的，中国人通过自己的双手勤劳致富被说成是“强迫劳动”，荒谬至极，那有没有“强迫致富”“强迫进步”，LOL,2020-12-16 05:05
118,"RT @AndrePa95172130: #新疆棉花 到底需要多少人去收获？
十几年前确实需要很多人，但是现在
机器已经大规模替代人力：“能上机器的绝不动手” 
#Xinjiang is one of the largest #cotton production and pro…",2020-12-16 10:12
