,Tweets,Date
119,RT @Shineling2: 有个问题想听听大家的意见，如何提高中国在国际上尤其是在西方国家的话语权？现在为了一带一路的发展，中国政府在提供便利条件培养非洲国家的接班人。能不能中国的大学也为西方国家的学生提供奖学金，鼓励他们来中国留学，鼓励他们留在中国建设中国，他们也应该能够…,2020-12-16 10:30
120,好久没见到 #新疆  #玛丽 的更新了，原来也被皿煮了。欢迎回来。 https://t.co/n0mayrcOy1,2020-12-16 10:34
121,"@gaunclexx 调查显示：
五十年前月球上有风，中国机械人一登月，风就停了🤓🤓🤓",2020-12-17 06:45
122,"@Whitfie54169831 #新疆美食恐怖分子 又来啦！😱
@gaunclexx",2020-12-17 06:56
123,"两名可疑人员从一个疑似导弹发射井的地方取出了可怕的武器！😱    #新疆 
Two suspicious personnel took out a terrible weapon from a suspected missile silo!#Xinjiang
@VOAChinese @dw_chinese @nytchinese
@RFA_Chinese @UHRP_Chinese @thetimes",2020-12-17 07:05
124,"@RFAChinese 有记者来过新疆吗？图片全是老照片
有新拍的照片吗？ 
比如这样的： https://t.co/jnwmFBU6Cy",2020-12-17 09:29
125,RT @ByronBarton10: 哈哈 谁说学生上课很枯燥了！ 快看新疆扭脖子！ https://t.co/PNYB6OuW7w,2020-12-17 09:55
126,RT @ByronBarton10: 酸奶也可以这样吃了？#新疆 https://t.co/mE8erllvR5,2020-12-17 09:55
127,"有时候，听不懂的语言有一种特别的风味...
从看饿了到听饿了需要多少时间？
#舞蹈 #新疆 #美食 https://t.co/OZxYc7ewD1",2020-12-17 10:06
128,@lh9983 挺佩服美国的，一方面不停谩骂中国，抹黑中国，另一方面看到中国强大的一面，又厚颜无耻的来要成果，他们怎么做到的。,2020-12-17 10:12
129,"我也想和一群年轻的姑娘一起玩雪，能告诉我在哪能找到这样的机会吗？😉🥰😍
#新疆",2020-12-17 10:38
130,"@l_EarEot 目测这里是 #新疆大学 校园里结了冰的 红湖
对吗？😉",2020-12-17 10:40
131,"RT @wYAI5R+eNDpVzrSo4AWUQDjqMrbf8NLC6GIXsyQnguQ=: @gaunclexx 调查显示：
五十年前月球上有风，中国机械人一登月，风就停了🤓🤓🤓",2020-12-17 10:40
132,"在 #新疆 有一种老师叫 #别人的老师 😆🥰😅
如果你也想要听这样的老师讲课，那么还是

洗洗睡吧，梦里什么都有！😉 https://t.co/yZc4XY5b5H",2020-12-17 10:56
133,"天气预报说两周内新疆会大幅降温，今年冬天将是近几年来最冷的冬天.....🥶🥶🥶
我这就去把最厚的衣服找出来
免得 #冻成狗 https://t.co/9dQsMPzySb",2020-12-17 11:07
134,"邪恶的西方媒体被迫放弃了“年终奖”😆
关于 #新疆 的谣言会就此终结吗？
显然，它们正在寻找更多的素材和资金支持🤓
The evil western media was forced to abandon the ""year-end award""
Will the #Xinjiang-rumors end?
Obviously, they r looking for more old photos and financial support🤓",2020-12-17 13:01
135,"西方邪恶媒体如何得到关于新疆的“图片资料”？
@nnnwzdcsbwqnm 给出了答案🤓",2020-12-18 03:13
136,"@dw_chinese 你们的图片是像这样购买的吗？👇
能否多花一些钱买到近期的图片呢？
很多老图片都是十几年前的了
与老龄化的德国截然不同
#中国新疆 的发展速度是全世界最快的地方之一
https://t.co/qDzaBTvcBm",2020-12-18 03:17
137,"RT @wYAI5R+eNDpVzrSo4AWUQDjqMrbf8NLC6GIXsyQnguQ=: @dw_chinese 你们的图片是像这样购买的吗？👇
能否多花一些钱买到近期的图片呢？
很多老图片都是十几年前的了
与老龄化的德国截然不同
#中国新疆 的发展速度是全世界最快的地方之一
https://t.co/qDzaBTvcBm",2020-12-18 03:18
138,和你最钟爱的他（她）一起来 禾木 #新疆😌,2020-12-18 03:29
139,@samudecay @GOGcom 😮😱😮他们用枪指着“维吾尔人”的头！ https://t.co/pL3kPCrhHR,2020-12-18 03:34
140,"@gaunclexx 与战斗民族做邻居，饮食风格会有很多相似的地方
唯数不多的不同点是：
新疆的蔬菜还是比肉便宜的",2020-12-18 04:01
141,兰州拉面新疆也有，碗很大，有机会拍到照片给你看,2020-12-18 04:04
142,"@bbcchinese 你不知道新疆有多少生产棉花用的机器？
u don't know how many machines r used for cotton production in #Xinjiang?
https://t.co/ANGuoUQ9c3",2020-12-18 04:41
143,"@LamCK15 @bbcchinese 你听说过自治区主席是谁吗？🙄😏😒
另外：新疆共有少数民族干部363169人，占全区干部的51.25%",2020-12-18 04:45
144,"动动脑子和手搜索一下？😏 #新疆官员 

艾斯海提·衣斯哈可夫(塔塔尔族,1956.8--1967.1)
阿不都拉·扎克洛夫(维吾尔族,1959.1--1964.3)
司马义·艾买提(维吾尔族,1973.6--1979.9)
孜牙(哈萨克族,1968.9--1978.2)
玉素甫·穆罕默德(维吾尔族,1983.4--1993.1) https://t.co/IlvLPDG4ue",2020-12-18 04:57
145,"新疆为什么是世界关注的焦点？
欧盟为什么要打压新疆棉花产业？
西方媒体为什么会如此关心新疆的维吾尔人？
#阿富汗 人的命也是命
#伊拉克 人的命也是命
#叙利亚 人的命也是命
#伊朗 人的命也是命
为什么中东数百万难民流离失所？ https://t.co/FPXxSidSJI",2020-12-18 05:12
146,"@bbcchinese 你们报道动物都能用上最新的视频资料
为什么报道新疆的时候，总是用十几年前的老照片呢？还删帖？🤔
https://t.co/hh88fzSYiB https://t.co/xEylPQxVWH",2020-12-18 05:19
147,"西方下流媒体总是回避 #新疆事实
https://t.co/RueLMP1QRd",2020-12-18 05:21
148,"西方邪恶媒体似乎只是在为可耻政客做“前哨”
恶意攻击抹黑中国新疆目的越来越明显
https://t.co/CjCNxq11oA https://t.co/A0yJ8v9RCY",2020-12-18 05:57
149,"怀念刘小明——一个已经被推特勒皿煮的 #新疆人
https://t.co/pzOIoMpI2p",2020-12-18 06:03
150,"RT @EarlRic23133481: 欧洲议会通过涉疆决议 中国驻欧盟使团发言人回应
The European Parliament passed a Xinjiang-related resolution, the spokesperson of the Chinese…",2020-12-18 06:12
151,"RT @Jerry_grey2002: 中国读者可能对这篇有关新疆的文章感兴趣。 因为英国广播公司（BBC）没有说实话，所以我尝试

https://t.co/YS49u53G2c",2020-12-18 07:58
152,"同感！世界应该听到 #新疆 自己的声音！
而不是那些不了解新疆的邪恶媒体的声音！",2020-12-18 09:06
153,"为避免推文被 #单条皿煮 截图转发是个不错的选择！
大美女 @FanLingXi 讲述普通中国人的故事！🥰🥰🥰 https://t.co/uYwDyQETwX",2020-12-18 09:14
154,"邪恶的西方政客正在用一切办法打压中国人的声音！
Evil Western politicians R using all means to suppress the voice of the Chinese!
https://t.co/VVaPuWsIfE",2020-12-18 09:16
155,"今天分享的 #新疆美食 是：
       伊犁回民老菜——#三下锅
喜欢吃素的朋友们福音来了！@gaunclexx
这道菜真的是菜多肉少🤓 https://t.co/NruBDxtKQ9",2020-12-18 09:59
156,"@FanLingXi 可能是因为带了抖音的角标，要是能换成没有角标的视频就好了
霉国正在打压中国新媒体平台 #抖音",2020-12-18 10:05
157,"@XinjiangLiuXM2 今天不见，想死熏弟了
来 #新疆美食 走起~！
https://t.co/kKuH3dUWXO",2020-12-18 10:08
158,"@FanLingXi 邪恶的西方政客正在极力 #打压中国新疆的声音
为新疆发声的 刘小明3千多fo的号被皿煮了😕
这是他的新号：@XinjiangLiuXM2
欢迎关注更多关于新疆的消息🙂
https://t.co/l8BTEwdLHB",2020-12-18 10:13
159,@gaunclexx 就知道嘉叔最爱新疆菜！😁,2020-12-18 10:28
160,"邪恶的西方政客正在极力 #打压中国新疆的声音
为新疆发声的 刘小明3千多fo的号被皿煮了😕
这是他的新号：@XinjiangLiuXM2
欢迎关注更多关于新疆的消息
https://t.co/Fbg2XTIaYe",2020-12-18 10:32
161,我也是爱新疆的地和人，然后才是菜。😎,2020-12-18 10:35
162,"常识：#新疆 棉花生产已实现大规模机械化 
Common sense: #Xinjiang cotton production has achieved large-scale mechanization
https://t.co/74iuyXALA4 https://t.co/GzE9AI5gCc",2020-12-18 14:59
163,"@Shineling2 视频中的 #维吾尔 姑娘被“压迫”着跳舞呢！
https://t.co/A2c8nCXcRY",2020-12-20 09:11
164,童年的快乐！谁没个童年呢！可爱的 #维吾尔族  老爷爷 https://t.co/XDuc6P5dwQ,2020-12-20 10:12
165,"为了全方位、多层次、多角度展现 #真实新疆
现试开通油管账号👇欢迎订阅：
https://t.co/3pSoFCk8XE https://t.co/MvT51VCDNg",2020-12-22 05:06
166,"关于所谓 “#新疆强迫劳动” 的真实情况在这里：
This thread tells the truth about the so-called ""forced labor in #Xinjiang"" by the western  evil-media
https://t.co/3vt14HofP0",2020-12-22 05:11
167,请回答成功抗击疫情中国人这个简单的问题：,2020-12-22 07:56
168,"RT @CNS1952: “難道我們出來務工，多掙些錢、多學些本領，用自己的雙手改變生活，還需要別人強迫嗎？”來自中國新疆、在一家服裝企業務工的希艾力•麥麥提敏21日說。已成為業務骨幹的他，每月收入比同事多出1000元。

2014年至2019年，新疆勞動就業總人數從1135.…",2020-12-22 08:28
169,@VoiceofPD 西方说新疆农民摘棉花是forced labor，可笑，每年那么多农民工坐专车来新疆摘棉花，就指望赚一把呢。那我倒要问问了，你们当年给种棉花的黑奴发工资嘛，别装作不知道，这过去才多久,2020-12-22 08:30
170,"#新疆伊犁 霍城县品珍特色小吃
虽然很好吃，但是遇到了漂亮 #小姐姐后
就会这样想：
“其实吃什么无所谓，关键是和谁一起吃”😋 https://t.co/Cq6VjYSLuP",2020-12-22 08:40
171,"西方媒体炒作 #新疆 维吾尔人 遭受文化清洗，#维吾尔语  受到打压，我看不是这样吧。
Uyghur ""cultural genocide"" by some western media is groundless. The girl speaks exactly #Uyghur language",2020-12-24 11:53
172,"RT @Whitfie54169831: 我怎么看着这个小姐姐的脖子也像P上去的呢。。。讲真，新疆纯纯的维吾尔族小姐姐真漂亮。
She is beautiful, isn't she? https://t.co/BXFKVvdGOb",2020-12-25 03:50
173,RT @CAOYI170610: 澳大利亚战略政策研究所“报告”中所称的“拘留中心”（坐标：38.9950N，77.6682E），实际上是新疆喀什地区麦盖提县央塔克乡小学。 https://t.co/A3kx1bD59l,2020-12-26 03:04
174,"RT @AndrePa95172130: 😂🤣😂🤣
这个没脑子的家伙居然以为中文版的“新年快乐”是中国的国歌？国际笑话制造者？
This brainless guy actually thinks that the Chinese version of ""Happy New Y…",2020-12-28 03:25
175,"乌鲁木齐麦当劳开业了，人山人海
美国人拒绝华为，但是中国人不会拒绝麦当劳 https://t.co/9aXBtZDxmG",2020-12-28 03:47
176,加油！新疆人支持你们！🥰,2020-12-28 03:51
177,坐标：#新疆 乌鲁木齐北郊 乌五公路铁路道口，货运繁忙，手机掏慢了，只拍到了火车尾巴😅 https://t.co/yi5MNhTX5C,2020-12-28 04:44
178,"RT @wYAI5R+eNDpVzrSo4AWUQDjqMrbf8NLC6GIXsyQnguQ=: @AndrePa95172130 邪恶的西方媒体只会通过卫星地图了解中国！
新疆一所小学被当做“#集中营”在大肆宣传
https://t.co/i3RajK3kE7",2020-12-28 04:54
179,"@AndrePa95172130 邪恶的西方媒体只会通过卫星地图了解中国！
新疆一所小学被当做“#集中营”在大肆宣传
https://t.co/i3RajK3kE7",2020-12-28 04:54
180,"@VOAChinese 那么问题来了，土方是如何确定这些“维吾尔人”
的真实身份呢？
看他们的中国身份证？
还是看他们长得像不像？
或是来者不拒？",2021-01-01 03:20
181,"RT @wYAI5R+eNDpVzrSo4AWUQDjqMrbf8NLC6GIXsyQnguQ=: @VOAChinese 那么问题来了，土方是如何确定这些“维吾尔人”
的真实身份呢？
看他们的中国身份证？
还是看他们长得像不像？
或是来者不拒？",2021-01-01 03:21
182,"RT @NightRavenDuya: 🚫 没有一个BuzzFeed报道中提到的长方形建筑可以被证明是“种族灭绝”的集中營。
事实上，宗教匯集的中国有3.9萬座清真寺(新疆有2.5萬座)，而美国只有2000座清真寺。
如果美国人真的想知道什么是真正的种族灭绝，什么是真正的集中营…",2021-01-01 03:24
183,"#StopXinjiangrumors！
这位“玉石专家”通过在线视频聊天鉴定玉石，这太不负责任了！
西方邪恶媒体也通过互联网和卫星图像了解新疆，这同样是不负责任的！ https://t.co/BcQDZ0k4Ib",2021-01-01 03:45
184,"中国武术，从娃娃抓起😎
Chinese KongFu, starting from dolls https://t.co/owmWYySJs7",2021-01-04 05:40
185,中国产品好不好，用过才知道😁,2021-01-04 05:54
186,@Ohc4O9SmZw1vx3h 😅新疆的年轻人喜欢这样的 https://t.co/fJZOwZzNTE,2021-01-04 09:22
187,高手不问年龄，#新疆  #哈萨克族 老奶奶依然是一个拉拉条子的高手。 https://t.co/V36YZzR2Cq,2021-01-04 09:45
188,"@chenglu92482354 @AndrePa95172130 这是新疆的维吾尔族，听他说普通话咋说的。
https://t.co/P79PUD0u6I",2021-01-05 09:58
189,"新疆禁止 #维吾尔人 带花帽？ 看第一幅图，并没有！
新疆禁止维吾尔人 讲 #维吾尔语？看第四幅图，也并没有！",2021-01-05 10:04
190,RT @CNS1952: 新疆大學官網日前刊載《人權保障語境下美國干涉新疆事務的探析——以新疆人口為視角的調查研究報告》，通過對新疆人口狀況進行的事實梳理，揭穿德反華學者鄭國恩抹黑新疆人口狀況五大謊言。新疆人口自然增長率急劇下降？所有少數民族縣的人口淨增長率為-0.25‰？來看…,2021-01-07 03:50
191,RT @xiwzwb: 4日，新疆大学官网发布《人权保障语境下美国干涉新疆事务的探析——以新疆人口为视角的调查研究报告》。报告通过数据针对郑国恩所谓“研究结果”中的五方面进行驳斥。https://t.co/8cWLIksAnI https://t.co/xPo1BqQV1N,2021-01-07 05:06
192,最新报告揭穿德国学者郑国恩抹黑新疆人口状况的五大谎言   https://t.co/Xrb5eU7OdM,2021-01-08 12:41
193,最新报告揭穿德国学者郑国恩抹黑新疆人口状况的五大谎言   https://t.co/IpVPPj6tIj,2021-01-08 13:12
194,最新报告揭穿德国学者郑国恩抹黑新疆人口状况的五大谎言   https://t.co/YkQR6wIj12,2021-01-09 00:16
195,最新报告揭穿德国学者郑国恩抹黑新疆人口状况的五大谎言   https://t.co/rigxRyxkYZ,2021-01-09 01:08
196,最新报告揭穿德国学者郑国恩抹黑新疆人口状况的五大谎言   https://t.co/I8gQiOm1ao,2021-01-09 01:18
197,最新报告揭穿德国学者郑国恩抹黑新疆人口状况的五大谎言   https://t.co/Y4aEyR1JHa,2021-01-09 01:18
198,最新报告揭穿德国学者郑国恩抹黑新疆人口状况的五大谎言   https://t.co/WR3CkPWwgK,2021-01-09 01:20
199,@FanLingXi 下次带点新疆的 艾德莱斯 裙子 试试看,2021-01-10 04:06
200,"@caichu88 @chehongnian 同理：
我在新疆感冒了，请你关心我一下谢谢！",2021-01-10 04:43
201,"#维吾尔族人 在重庆
Xinjiang Uyghurs in Chongqing
#XinjiangOnline",2021-01-10 04:55
202,#Xinjiang #新疆 #维吾尔族 女性工作者：工作使我们荣耀，奋斗使我们快乐,2021-01-11 10:07
203,"RT @AndrePa95172130: 外国人眼中的“新疆维吾尔人”：
👇""Xinjiang Uyghurs"" in the eyes of foreigners
                                   真正的新疆维吾尔族人：…",2021-01-11 11:10
204,##XinjiangOnline # 新疆宗教人士回应印尼记者：开展正常宗教活动没有受到任何限制https://t.co/0ibtw2PL1s,2021-01-12 05:31
205,##Xinjiang  ##XinjiangOnline # 所谓有人遭受“拘押”“迫害”？三段视频揭露抹黑新疆谣言https://t.co/W00LUNJuf1,2021-01-12 05:40
206,"所谓有人遭受“拘押”“迫害”？三段视频揭露抹黑新疆谣言
@UHRP_Chinese @0715Rita @Erkin_Azat @zunzhongtuanjie @intymedia 
https://t.co/ZjLZrjdFco https://t.co/mRm5XRMwnO",2021-01-12 06:00
207,"中国驳斥外界对新疆存在强迫劳动质疑
@RianThum @AbduwelA @adrianzenz @Mehmetjan5 @AidUyghur @nuryturkel
https://t.co/cQRrgrxUr8",2021-01-12 06:24
208,新华社记者带你“打卡”新疆自然博物馆。,2021-01-12 06:25
209,新疆维吾尔自治区新闻办公室发言人祖力亚提·司马义昨天在发布会上说，新疆境内各族群众与国外亲属的通信联系是自由的、正常的。（中新社）@jenniferatntd@ErkinSidick@PeterTatchell@HKokbore@Uyghurspeaker@uyghurproject@UyghurCongress@UyghurBulletin@RushanAbbas https://t.co/gtSc98LuAM,2021-01-12 06:37
210,##Xinjiang  ##XinjiangOnline # 所谓有人遭受“拘押”“迫害”？三段视频揭露抹黑新疆谣言https://t.co/mG7xb51H6k,2021-01-12 06:38
211,新疆伊斯蘭教協會副秘書長作出回應。https://t.co/DLP73NEeNn https://t.co/zpmcsLvTS4,2021-01-12 06:45
212,新疆维吾尔自治区新闻办公室发言人祖力亚提·司马义昨天在发布会上说，新疆境内各族群众与国外亲属的通信联系是自由的、正常的。（中新社）@jenniferatntd@ErkinSidick@PeterTatchell@HKokbore@Uyghurspeaker@uyghurproject@UyghurCongress@UyghurBulletin@RushanAbbas https://t.co/rooibBPmJp,2021-01-12 06:47
213,"所谓有人遭受“拘押”“迫害”？三段视频揭露抹黑新疆谣言
@UHRP_Chinese @0715Rita @Erkin_Azat @zunzhongtuanjie @intymedia 
https://t.co/8H0RJevb90 https://t.co/O2Tz68Py2w",2021-01-12 06:59
214,"中国驳斥外界对新疆存在强迫劳动质疑
@RianThum @AbduwelA @adrianzenz @Mehmetjan5 @AidUyghur @nuryturkel
https://t.co/IcNg6XT8mi",2021-01-12 07:26
215,"RT @XinhuaChinese: vlog：新华社记者带你“打卡”新疆自然博物馆。
  
在乌鲁木齐市，有一座开馆不久、满满知识点的“年轻”博物馆，这是一座国内为数不多、具有完整内陆荒漠干旱区特色展示的科普场馆。今天，新华社记者带你“打卡”新疆自然博物馆，解锁探索新疆的新方…",2021-01-12 08:01
216,##Xinjiang  ##XinjiangOnline # 所谓有人遭受“拘押”“迫害”？三段视频揭露抹黑新疆谣言https://t.co/e6c8Ka36N4,2021-01-12 08:24
217,##Xinjiang  ##XinjiangOnline # 所谓有人遭受“拘押”“迫害”？三段视频揭露抹黑新疆谣言https://t.co/4ilhGPUOW1,2021-01-12 08:25
218,##Xinjiang  ##XinjiangOnline # 所谓有人遭受“拘押”“迫害”？三段视频揭露抹黑新疆谣言https://t.co/Y09AJJO9qd,2021-01-12 08:26
219,##Xinjiang  ##XinjiangOnline # 所谓有人遭受“拘押”“迫害”？三段视频揭露抹黑新疆谣言https://t.co/T4dUWX3WzW,2021-01-12 08:27
220,"所谓有人遭受“拘押”“迫害”？三段视频揭露抹黑新疆谣言
@UHRP_Chinese @0715Rita @Erkin_Azat @zunzhongtuanjie @intymedia 
https://t.co/JlAm011sVV https://t.co/5f5CStVezh",2021-01-12 09:09
221,@CNS1952 让抹黑 #新疆 的西方媒体哭去吧,2021-01-12 09:28
222,"中国驳斥外界对新疆存在强迫劳动质疑
@RianThum @AbduwelA @adrianzenz @Mehmetjan5 @AidUyghur @nuryturkel
https://t.co/dwqo7srWmz",2021-01-12 09:33
223,新疆伊斯蘭教協會副秘書長作出回應。https://t.co/Ngoeni5lDC https://t.co/ic38BiJISL,2021-01-12 09:40
224,##Xinjiang  ##XinjiangOnline # 所谓有人遭受“拘押”“迫害”？三段视频揭露抹黑新疆谣言https://t.co/QNTCvUEgVU,2021-01-12 09:42
225,新疆伊斯蘭教協會副秘書長作出回應。https://t.co/ZpvnrYeEcI https://t.co/AoRdQMMbsH,2021-01-12 10:04
226,RT @CNS1952: 【新疆宗教人士回應印尼記者：開展正常宗教活動沒有受到任何限制】11日在北京舉行的新疆維吾爾自治區涉疆問題新聞發布會上，有印尼媒體記者向新疆宗教人士詢問：開展宗教活動是否受限？伊斯蘭教學校有多少？穆斯林學生可以出國留學嗎？…… 新疆伊斯蘭教協會副秘書長作…,2021-01-12 11:11
227,新疆维吾尔自治区新闻办公室发言人祖力亚提·司马义昨天在发布会上说，新疆境内各族群众与国外亲属的通信联系是自由的、正常的。（中新社）@jenniferatntd@ErkinSidick@PeterTatchell@HKokbore@Uyghurspeaker@uyghurproject@UyghurCongress@UyghurBulletin@RushanAbbas https://t.co/tFtiXag4rB,2021-01-12 11:23
228,#Xinjiang-related Issues # 新疆维吾尔自治区新闻办公室发言人祖力亚提·司马义昨天在发布会上说，新疆境内各族群众与国外亲属的通信联系是自由的、正常的。 https://t.co/Y7UAtWH3iN,2021-01-12 11:25
229,#Xinjiang-related Issues # 新疆维吾尔自治区新闻办公室发言人祖力亚提·司马义昨天在发布会上说，新疆境内各族群众与国外亲属的通信联系是自由的、正常的。 https://t.co/IQPKf5RqNY,2021-01-12 11:39
230,“打卡”#新疆 #Xinjiang 自然博物馆。,2021-01-12 12:11
231,新疆维吾尔自治区新闻办公室发言人祖力亚提·司马义昨天在发布会上说，新疆境内各族群众与国外亲属的通信联系是自由的、正常的。（中新社）@jenniferatntd@ErkinSidick@PeterTatchell@HKokbore@Uyghurspeaker@uyghurproject@UyghurCongress@UyghurBulletin@RushanAbbas https://t.co/spZRdZGKX6,2021-01-12 12:21
232,新疆维吾尔自治区新闻办公室发言人祖力亚提·司马义昨天在发布会上说，新疆境内各族群众与国外亲属的通信联系是自由的、正常的。（中新社）@jenniferatntd@ErkinSidick@PeterTatchell@HKokbore@Uyghurspeaker@uyghurproject@UyghurCongress@UyghurBulletin@RushanAbbas https://t.co/Dhcj9eYiwA,2021-01-12 13:25
233,新疆维吾尔自治区新闻办公室发言人祖力亚提·司马义昨天在发布会上说，新疆境内各族群众与国外亲属的通信联系是自由的、正常的。（中新社）@jenniferatntd@ErkinSidick@PeterTatchell@HKokbore@Uyghurspeaker@uyghurproject@UyghurCongress@UyghurBulletin@RushanAbbas https://t.co/ZT4bDRvTp3,2021-01-12 13:25
234,新疆维吾尔自治区新闻办公室发言人祖力亚提·司马义昨天在发布会上说，新疆境内各族群众与国外亲属的通信联系是自由的、正常的。（中新社）@jenniferatntd@ErkinSidick@PeterTatchell@HKokbore@Uyghurspeaker@uyghurproject@UyghurCongress@UyghurBulletin@RushanAbbas https://t.co/BWoYozJJgg,2021-01-12 13:26
235,新疆维吾尔自治区新闻办公室发言人祖力亚提·司马义昨天在发布会上说，新疆境内各族群众与国外亲属的通信联系是自由的、正常的。（中新社）@jenniferatntd@ErkinSidick@PeterTatchell@HKokbore@Uyghurspeaker@uyghurproject@UyghurCongress@UyghurBulletin@RushanAbbas https://t.co/YOBo9OZJD6,2021-01-12 13:31
